,name,bolt_des,bolt_cat,threads_included,d_f,d_h,a_e_min,s_p_min,phiV_f,phiN_tf
0,M12 4.6/S (TI),M12,4.6/S,True,12,14,18.0,30.0,15.1,27.0
1,M12 4.6/S (TX),M12,4.6/S,False,12,14,18.0,30.0,22.4,27.0
2,M12 8.8/S (TI),M12,8.8/S,True,12,14,18.0,30.0,31.4,56.0
3,M12 8.8/S (TX),M12,8.8/S,False,12,14,18.0,30.0,46.6,56.0
4,M12 8.8/TF (TI),M12,8.8/TF,True,12,14,18.0,30.0,31.4,56.0
5,M12 8.8/TF (TX),M12,8.8/TF,False,12,14,18.0,30.0,46.6,56.0
6,M12 8.8/TB (TI),M12,8.8/TB,True,12,14,18.0,30.0,31.4,56.0
7,M12 8.8/TB (TX),M12,8.8/TB,False,12,14,18.0,30.0,46.6,56.0
8,M16 4.6/S (TI),M16,4.6/S,True,16,18,24.0,40.0,28.6,50.1
9,M16 4.6/S (TX),M16,4.6/S,False,16,18,24.0,40.0,39.9,50.1
10,M16 8.8/S (TI),M16,8.8/S,True,16,18,24.0,40.0,59.3,104.0
11,M16 8.8/S (TX),M16,8.8/S,False,16,18,24.0,40.0,82.8,104.0
12,M16 8.8/TF (TI),M16,8.8/TF,True,16,18,24.0,40.0,59.3,104.0
13,M16 8.8/TF (TX),M16,8.8/TF,False,16,18,24.0,40.0,82.8,104.0
14,M16 8.8/TB (TI),M16,8.8/TB,True,16,18,24.0,40.0,59.3,104.0
15,M16 8.8/TB (TX),M16,8.8/TB,False,16,18,24.0,40.0,82.8,104.0
16,M20 4.6/S (TI),M20,4.6/S,True,20,22,30.0,50.0,44.7,78.3
17,M20 4.6/S (TX),M20,4.6/S,False,20,22,30.0,50.0,62.3,78.3
18,M20 8.8/S (TI),M20,8.8/S,True,20,22,30.0,50.0,92.7,163.0
19,M20 8.8/S (TX),M20,8.8/S,False,20,22,30.0,50.0,129.0,163.0
20,M20 8.8/TF (TI),M20,8.8/TF,True,20,22,30.0,50.0,92.7,163.0
21,M20 8.8/TF (TX),M20,8.8/TF,False,20,22,30.0,50.0,129.0,163.0
22,M20 8.8/TB (TI),M20,8.8/TB,True,20,22,30.0,50.0,92.7,163.0
23,M20 8.8/TB (TX),M20,8.8/TB,False,20,22,30.0,50.0,129.0,163.0
24,M24 4.6/S (TI),M24,4.6/S,True,24,26,36.0,60.0,64.3,113.0
25,M24 4.6/S (TX),M24,4.6/S,False,24,26,36.0,60.0,89.8,113.0
26,M24 8.8/S (TI),M24,8.8/S,True,24,26,36.0,60.0,133.0,234.0
27,M24 8.8/S (TX),M24,8.8/S,False,24,26,36.0,60.0,186.0,234.0
28,M24 8.8/TF (TI),M24,8.8/TF,True,24,26,36.0,60.0,133.0,234.0
29,M24 8.8/TF (TX),M24,8.8/TF,False,24,26,36.0,60.0,186.0,234.0
30,M24 8.8/TB (TI),M24,8.8/TB,True,24,26,36.0,60.0,133.0,234.0
31,M24 8.8/TB (TX),M24,8.8/TB,False,24,26,36.0,60.0,186.0,234.0
32,M30 4.6/S (TI),M30,4.6/S,True,30,33,45.0,75.0,103.0,179.0
33,M30 4.6/S (TX),M30,4.6/S,False,30,33,45.0,75.0,140.0,179.0
34,M30 8.8/S (TI),M30,8.8/S,True,30,33,45.0,75.0,214.0,372.0
35,M30 8.8/S (TX),M30,8.8/S,False,30,33,45.0,75.0,291.0,372.0
36,M30 8.8/TF (TI),M30,8.8/TF,True,30,33,45.0,75.0,214.0,372.0
37,M30 8.8/TF (TX),M30,8.8/TF,False,30,33,45.0,75.0,291.0,372.0
38,M30 8.8/TB (TI),M30,8.8/TB,True,30,33,45.0,75.0,214.0,372.0
39,M30 8.8/TB (TX),M30,8.8/TB,False,30,33,45.0,75.0,291.0,372.0
40,M36 4.6/S (TI),M36,4.6/S,True,36,39,54.0,90.0,151.0,261.0
41,M36 4.6/S (TX),M36,4.6/S,False,36,39,54.0,90.0,202.0,261.0
42,M36 8.8/S (TI),M36,8.8/S,True,36,39,54.0,90.0,313.0,542.0
43,M36 8.8/S (TX),M36,8.8/S,False,36,39,54.0,90.0,419.0,542.0
44,M36 8.8/TF (TI),M36,8.8/TF,True,36,39,54.0,90.0,313.0,542.0
45,M36 8.8/TF (TX),M36,8.8/TF,False,36,39,54.0,90.0,419.0,542.0
46,M36 8.8/TB (TI),M36,8.8/TB,True,36,39,54.0,90.0,313.0,542.0
47,M36 8.8/TB (TX),M36,8.8/TB,False,36,39,54.0,90.0,419.0,542.0
