name,n_p,n_g,s_p,s_g,bolt_name,constr
1 x 1 (70p x 70g) M20 8.8/S (TI),1,1,70,70,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
1 x 1 (70p x 90g) M20 8.8/S (TI),1,1,70,90,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
1 x 1 (70p x 140g) M20 8.8/S (TI),1,1,70,140,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
1 x 1 (80p x 70g) M20 8.8/S (TI),1,1,80,70,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
1 x 1 (80p x 90g) M20 8.8/S (TI),1,1,80,90,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
1 x 1 (80p x 140g) M20 8.8/S (TI),1,1,80,140,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
1 x 1 (90p x 70g) M20 8.8/S (TI),1,1,90,70,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
1 x 1 (90p x 90g) M20 8.8/S (TI),1,1,90,90,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
1 x 1 (90p x 140g) M20 8.8/S (TI),1,1,90,140,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
1 x 2 (70p x 70g) M20 8.8/S (TI),1,2,70,70,M20 8.8/S (TI),"{""n_p"": 1, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
